epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5216.06,0.71675,0.34015,0.77502,0.9277,0.74843,0.818,0.57918,0.7701,0.37554,0.78287,0.000346625,0.000346625,0.000346625
75,5287.04,0.70399,0.33135,0.77522,0.93744,0.77288,0.83182,0.58676,0.75027,0.36687,0.78217,0.00033425,0.00033425,0.00033425
76,5355.12,0.70097,0.33192,0.77631,0.94531,0.7648,0.82566,0.57875,0.77824,0.37816,0.78493,0.000321875,0.000321875,0.000321875
77,5421.53,0.76154,0.35253,0.77902,0.96436,0.74786,0.83139,0.5906,0.76524,0.37073,0.78211,0.0003095,0.0003095,0.0003095
78,5488.18,0.73158,0.33772,0.77371,0.93726,0.76418,0.82839,0.5871,0.74747,0.36388,0.78212,0.000297125,0.000297125,0.000297125
79,5561.11,0.72465,0.33377,0.77391,0.89435,0.77687,0.82554,0.57769,0.74272,0.36349,0.78201,0.00028475,0.00028475,0.00028475
80,5633.21,0.69336,0.32192,0.77419,0.91259,0.76275,0.83481,0.59638,0.74,0.3598,0.78343,0.000272375,0.000272375,0.000272375
81,5708.53,0.6925,0.32594,0.77511,0.92392,0.76844,0.83248,0.58681,0.76612,0.36732,0.78212,0.00026,0.00026,0.00026
82,5784.34,0.70761,0.32951,0.77531,0.89702,0.76847,0.8257,0.58279,0.75006,0.35908,0.78195,0.000247625,0.000247625,0.000247625
83,5852.56,0.68676,0.32326,0.77316,0.90192,0.76544,0.83703,0.58267,0.75766,0.36931,0.78329,0.00023525,0.00023525,0.00023525
84,5921.66,0.69111,0.32456,0.77548,0.89511,0.76507,0.81718,0.59311,0.75708,0.36774,0.7826,0.000222875,0.000222875,0.000222875
85,5988.98,0.68458,0.31789,0.77434,0.91743,0.74381,0.83301,0.58775,0.75779,0.37039,0.78182,0.0002105,0.0002105,0.0002105
86,6067.44,0.65816,0.3101,0.7739,0.9553,0.7603,0.83868,0.58713,0.75107,0.36409,0.78167,0.000198125,0.000198125,0.000198125
87,6126.78,0.65796,0.31009,0.77169,0.96483,0.76724,0.82942,0.58971,0.74803,0.36507,0.78096,0.00018575,0.00018575,0.00018575
88,6194.49,0.659,0.31115,0.77236,0.92149,0.75116,0.82462,0.57685,0.75048,0.3645,0.78111,0.000173375,0.000173375,0.000173375
89,6267.78,0.65733,0.30865,0.77275,0.9126,0.75282,0.81784,0.57899,0.75739,0.36281,0.78182,0.000161,0.000161,0.000161
90,6329.95,0.64302,0.30514,0.77302,0.9182,0.76171,0.83332,0.58602,0.74656,0.36014,0.78127,0.000148625,0.000148625,0.000148625
91,6392.32,0.61359,0.30012,0.77148,0.93172,0.73842,0.81458,0.58336,0.75842,0.3619,0.78168,0.00013625,0.00013625,0.00013625
92,6451.76,0.61422,0.30055,0.77119,0.87285,0.75819,0.81551,0.56465,0.77087,0.37285,0.78305,0.000123875,0.000123875,0.000123875
93,6525.41,0.602,0.29835,0.772,0.91967,0.75016,0.81685,0.58523,0.75305,0.36009,0.78115,0.0001115,0.0001115,0.0001115
94,6594.89,0.59826,0.29592,0.77015,0.92801,0.75295,0.82545,0.57905,0.77177,0.37105,0.783,9.9125e-05,9.9125e-05,9.9125e-05
95,6671.77,0.59419,0.29333,0.77279,0.944,0.74652,0.8279,0.58997,0.75256,0.36364,0.7825,8.675e-05,8.675e-05,8.675e-05
96,6742.41,0.57472,0.28465,0.77584,0.92541,0.7398,0.81682,0.5897,0.74853,0.35986,0.78146,7.4375e-05,7.4375e-05,7.4375e-05
97,6804.68,0.58696,0.28969,0.77173,0.91238,0.7697,0.83502,0.58732,0.75269,0.3558,0.78269,6.2e-05,6.2e-05,6.2e-05
98,6876.33,0.57742,0.28652,0.76955,0.94747,0.75064,0.83214,0.58632,0.7506,0.35837,0.78222,4.9625e-05,4.9625e-05,4.9625e-05
99,6937.46,0.57758,0.28614,0.76965,0.96137,0.74132,0.82972,0.58462,0.74846,0.35706,0.78151,3.725e-05,3.725e-05,3.725e-05
100,6997.81,0.56282,0.27896,0.77151,0.93184,0.75925,0.83109,0.58237,0.74778,0.35363,0.78183,2.4875e-05,2.4875e-05,2.4875e-05
